,id,posicao,apelido,clube,posicao.1,ultima_pontuacao,status,FD,G,CA,FC,FS,DD,GS,PP,SG,CV,FT,A,PE,RB,DP,I,FF,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
10,50317,10,David Braz,Santos,Zagueiro,-1.2,Provável,0,0,0,0,0,1,2,0,1,0,1,1,0,2,0,1,12,<cartolafc.models.PontuacaoInfo object at 0x11c6245f8>,<cartolafc.models.PontuacaoInfo object at 0x11c624b38>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c6256d8>,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11c6e45f8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4860>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4668>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4400>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4a90>
11,37662,11,Jonathan,Atlético-PR,Lateral,5.8,Provável,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,13,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11bc68780>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11c62f710>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8da0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf86a0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc88>
12,38909,12,Diego,Flamengo,Meia,1.2,Provável,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11c6256d8>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c62fa90>,<cartolafc.models.PontuacaoInfo object at 0x11c62fc50>,<cartolafc.models.PontuacaoInfo object at 0x11bd82eb8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4400>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4ba8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4668>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4a90>,<cartolafc.models.PontuacaoInfo object at 0x11c6e45f8>
13,38140,13,Fernando Prass,Palmeiras,Goleiro,11.0,Provável,0,3,0,8,0,0,0,0,0,0,2,1,0,0,0,0,1,<cartolafc.models.PontuacaoInfo object at 0x11bbf86a0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11c62f710>,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c6245f8>,<cartolafc.models.PontuacaoInfo object at 0x11c624b38>,<cartolafc.models.PontuacaoInfo object at 0x11bb1bc50>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe48>
14,90061,14,Bruno Pacheco,Atlético-GO,Lateral,-2.6,Provável,1,0,0,0,0,0,5,0,1,0,0,7,0,6,0,0,9,<cartolafc.models.PontuacaoInfo object at 0x11bc7dba8>,<cartolafc.models.PontuacaoInfo object at 0x11bc68780>,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8da0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e45f8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4a90>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4b70>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4ba8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e42e8>
15,68901,15,Rodrigo Pimpão,Botafogo,Atacante,-0.9,Provável,1,0,0,0,0,0,6,0,1,0,0,5,0,10,0,2,18,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c6256d8>,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11c62fa90>,<cartolafc.models.PontuacaoInfo object at 0x11c62fc50>,<cartolafc.models.PontuacaoInfo object at 0x11c62f710>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe48>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>
16,60787,16,Willians,Avaí,Atacante,0.8,Nulo,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8da0>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c6245f8>,<cartolafc.models.PontuacaoInfo object at 0x11c624b38>,<cartolafc.models.PontuacaoInfo object at 0x11bb1bc50>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4b38>,<cartolafc.models.PontuacaoInfo object at 0x11c6e42e8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4780>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4b70>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4c50>
17,51415,17,Roger Carvalho,Atlético-GO,Zagueiro,4.8,Provável,0,0,0,0,0,0,9,0,0,0,0,11,0,9,0,1,7,<cartolafc.models.PontuacaoInfo object at 0x11c62fc50>,<cartolafc.models.PontuacaoInfo object at 0x11bd82eb8>,<cartolafc.models.PontuacaoInfo object at 0x11c6256d8>,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bbf86a0>,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11bc68780>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbd68>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>
18,42330,18,Felipe Garcia,Atlético-GO,Goleiro,3.0,Provável,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,<cartolafc.models.PontuacaoInfo object at 0x11bc7dba8>,<cartolafc.models.PontuacaoInfo object at 0x11c624b38>,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c62fa90>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11c62f710>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc88>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbba8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf60>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe80>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf98>
19,77959,19,Copete,Santos,Atacante,-1.7,Nulo,0,0,0,0,0,0,2,0,2,0,0,1,0,3,0,0,12,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11bc68780>,<cartolafc.models.PontuacaoInfo object at 0x11c6245f8>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8da0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf86a0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe48>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>
